User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp,,Bin,
22FANEB,1/15/2019,22:20:46,8,2,0,0,2.302470922,,,
22FANEB,1/15/2019,22:20:46,8,2,3,-999,-999,,,
22FANEB,1/15/2019,22:20:46,8,0,3,-999,-999,,,
22FANEB,1/15/2019,22:20:46,8,2,3,-999,-999,,,
22FANEB,1/15/2019,22:20:46,8,0,3,-999,-999,,,
22FANEB,1/15/2019,22:20:46,8,2,0,-999,-999,,,
22FANEB,1/15/2019,22:20:46,9,1,2,2,1.618555069,,,
22FANEB,1/15/2019,22:20:46,10,2,1,1,1.267289877,,,
22FANEB,1/15/2019,22:20:46,11,0,0,0,1.401954889,,,
22FANEB,1/15/2019,22:20:46,12,2,2,2,1.11954093,,,
22FANEB,1/15/2019,22:20:46,13,1,0,0,1.90267992,,,
22FANEB,1/15/2019,22:20:46,14,0,1,1,0.819176912,,,
22FANEB,1/15/2019,22:20:46,14,1,3,-999,-999,,,
22FANEB,1/15/2019,22:20:46,15,1,1,1,1.30154109,,,
22FANEB,1/15/2019,22:20:46,16,0,2,2,1.250722885,,,
22FANEB,1/15/2019,22:20:46,17,1,0,0,1.452886105,,,
22FANEB,1/15/2019,22:20:46,18,2,1,1,1.118871212,,,
22FANEB,1/15/2019,22:20:46,19,0,1,1,1.102674961,,,
22FANEB,1/15/2019,22:20:46,19,2,2,-999,-999,,,
22FANEB,1/15/2019,22:20:46,20,1,3,3,1.752047062,,,
22FANEB,1/15/2019,22:20:46,21,1,2,2,1.252136946,,,
22FANEB,1/15/2019,22:20:46,22,0,0,0,1.068145037,,,
22FANEB,1/15/2019,22:20:46,23,1,1,1,0.917769194,,,
22FANEB,1/15/2019,22:20:46,24,0,2,2,0.90226078,,,
User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp,,,
22FRABH,1/24/2019,12:44:48,1,2,3,3,1.303595066,,,
22FRABH,1/24/2019,12:44:48,2,1,3,3,0.752781868,,,
22FRABH,1/24/2019,12:44:48,3,0,1,1,0.954128981,,,
22FRABH,1/24/2019,12:44:48,4,2,0,0,0.836632013,,,
22FRABH,1/24/2019,12:44:48,5,1,3,3,1.254286051,,,
22FRABH,1/24/2019,12:44:48,6,2,3,3,0.536990881,,,
22FRABH,1/24/2019,12:44:48,7,1,1,1,0.871217012,,,
22FRABH,1/24/2019,12:44:48,8,0,3,3,1.16919589,,,
22FRABH,1/24/2019,12:44:48,9,0,2,2,0.836962938,,,
22FRABH,1/24/2019,12:44:48,10,1,0,0,1.285798073,,,
22FRABH,1/24/2019,12:44:48,11,0,0,0,0.702573061,,,
22FRABH,1/24/2019,12:44:48,12,0,0,0,0.619754076,,,
22FRABH,1/24/2019,12:44:48,13,1,1,1,0.920193195,,,
22FRABH,1/24/2019,12:44:48,14,2,1,1,0.686162949,,,
22FRABH,1/24/2019,12:44:48,15,2,2,2,1.268401861,,,
22FRABH,1/24/2019,12:44:48,16,1,2,2,0.504177094,,,
22FRABH,1/24/2019,12:44:48,17,2,2,2,0.486623049,,,
22FRABH,1/24/2019,12:44:48,18,2,1,1,1.320493937,,,
22FRABH,1/24/2019,12:44:48,19,0,3,3,0.686126947,,,
22FRABH,1/24/2019,12:44:48,20,0,1,1,0.666805029,,,
22FRABH,1/24/2019,12:44:48,21,1,0,0,0.820082188,,,
22FRABH,1/24/2019,12:44:48,22,0,2,2,0.737012863,,,
22FRABH,1/24/2019,12:44:48,23,1,2,2,0.469698906,,,
22FRABH,1/24/2019,12:44:48,24,2,0,0,0.702568054,,,
User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp,,,
22MRNSA,1/14/2019,22:29:45,1,0,0,0,2.019770145,,,
22MRNSA,1/14/2019,22:29:45,2,0,0,0,0.751602888,,,
22MRNSA,1/14/2019,22:29:45,3,2,2,2,1.253801107,,,
22MRNSA,1/14/2019,22:29:45,4,1,3,3,1.797651052,,,
22MRNSA,1/14/2019,22:29:45,5,1,1,1,0.785629988,,,
22MRNSA,1/14/2019,22:29:45,6,1,0,0,0.685207129,,,
22MRNSA,1/14/2019,22:29:45,7,2,0,0,0.835978985,,,
22MRNSA,1/14/2019,22:29:45,8,1,1,1,1.620800018,,,
22MRNSA,1/14/2019,22:29:45,9,0,1,1,0.952431917,,,
22MRNSA,1/14/2019,22:29:45,10,2,1,1,1.218792915,,,
22MRNSA,1/14/2019,22:29:45,11,1,2,2,1.152963161,,,
Last login: Sun Jan 27 16:45:07 on console
Bhavyas-MacBook-Pro:~ bhavya$ cd /Users/bhavya/Documents/GitHub/group5Repo/PSY_G5 
Bhavyas-MacBook-Pro:PSY_G5 bhavya$ vim-diff 
.DS_Store               24mdera.csv             27fumra.csv
20fvibi.csv             24myosa.csv             27madgo.csv
21fbhpa.csv             25fanpa.csv             28fhefa.csv
21mberi.csv             25fiswe.csv             28mobal.csv
22faneb.csv             25fnasa.csv             29mstba.csv
22frabh.csv             25madsa.csv             Congruent.xlsx
22mrnsa.csv             25maksh.csv             Incongruent-Color.xlsx
23fanbo.csv             25mminn.csv             Incongruent-Shape.xlsx
23fmnlb.csv             25mrrais.csv            all_data.csv
23mzura.csv             26fchsa.csv             combine.csv
24fbada.csv             26fkagu.csv             congruent.csv
24fragi.csv             26mpnko.csv             
24masva.csv             27fclis.csv             
Bhavyas-MacBook-Pro:PSY_G5 bhavya$ vim-diff 
.DS_Store               24mdera.csv             27fumra.csv
20fvibi.csv             24myosa.csv             27madgo.csv
21fbhpa.csv             25fanpa.csv             28fhefa.csv
21mberi.csv             25fiswe.csv             28mobal.csv
22faneb.csv             25fnasa.csv             29mstba.csv
22frabh.csv             25madsa.csv             Congruent.xlsx
22mrnsa.csv             25maksh.csv             Incongruent-Color.xlsx
23fanbo.csv             25mminn.csv             Incongruent-Shape.xlsx
23fmnlb.csv             25mrrais.csv            all_data.csv
23mzura.csv             26fchsa.csv             combine.csv
24fbada.csv             26fkagu.csv             congruent.csv
24fragi.csv             26mpnko.csv             
24masva.csv             27fclis.csv             
Bhavyas-MacBook-Pro:PSY_G5 bhavya$ vim-diff combine.csv all_data.csv 
-bash: vim-diff: command not found
Bhavyas-MacBook-Pro:PSY_G5 bhavya$ vim
Bhavyas-MacBook-Pro:PSY_G5 bhavya$ vim -diff combine.csv all_data.csv 
VIM - Vi IMproved 8.0 (2016 Sep 12, compiled Aug 17 2018 17:24:51)
Garbage after option argument: "-diff"
More info with: "vim -h"
Bhavyas-MacBook-Pro:PSY_G5 bhavya$ vom -h
-bash: vom: command not found
Bhavyas-MacBook-Pro:PSY_G5 bhavya$ vim -h
