User ID,Timestamp Congruent,"Timestamp Incongruent in
Shape(Tis)","Timestamp Incongruent in
Color(Tic)",Tis – Tc,((Tis – Tc)-Xd-bar)^2,,Tic – Tc,((Tis – Tc)-Xd-bar)^2
20fvibi,0.701414142336164,0.732388257980347,0.759372419781155,0.030974115644183,0.001144268651159,,0.057958277444991,0.000572368712721
21fbhpa,0.715829908847809,0.636796815054757,0.773336437013414,-0.079033093793052,0.020688291379196,,0.057506528165605,0.000594188296166
21mberi,0.737153023481369,0.860390841960907,0.831003487110138,0.123237818479538,0.003414843535697,,0.093850463628769,0.000143232009419
22faneb,1.01714502440559,1.38695771694183,1.48532581329346,0.36981269253624,0.093032037493007,,0.46818078888787,0.1492263633497
22frabh,0.796569973230362,0.859779298305512,0.892683476209641,0.06320932507515,2.53392531332341E-06,,0.096113502979279,0.000202521274567
22mrnsa,1.23650781313578,1.18150499463081,1.28582354954311,-0.05500281850497,0.014352992278589,,0.04931573640733,0.001060594482749
23fanbo,1.56048199108669,1.39975958400302,1.38691058754921,-0.16072240708367,0.050860877452119,,-0.17357140353748,0.065256699906194
23fmnlb,1.29359588027,1.50384079085456,1.116103717259,0.21024491058456,0.021153885782373,,-0.177492163011,0.067275218932903
23mzura,0.638401955366135,0.912491977214813,0.677987337112427,0.274090021848678,0.043801829418185,,0.039585381746292,0.001789046721493
24fbada,0.680468618869782,0.814015120267868,0.778752148151398,0.133546501398086,0.004725922530312,,0.098283529281616,0.000268993564157
24fragi,1.15723178386688,1.21990209817886,1.15416808923086,0.06267031431198,4.54048579075136E-06,,-0.00306369463602,0.007215857005225
24masva,1.12637368837992,1.40757722324795,1.06159222126007,0.28120353486803,0.0468299896314,,-0.06478146711985,0.021510321016014
24mdera,1.26073053148058,1.37629589438438,1.48689116750445,0.1155653629038,0.00257700471469,,0.22616063602387,0.020816178798547
24myosa,0.738254891501533,0.613796502351761,0.663255555289132,-0.124458389149772,0.035819175385121,,-0.074999336212401,0.024611912420999
25fanpa,0.83999091386795,0.700275450944901,0.964410960674286,-0.139715462923049,0.041827047366896,,0.124420046806336,0.001809442376483
25fiswe,1.18492162227631,1.57560593741281,1.51734442181057,0.3906843151365,0.106199833486577,,0.33242279953426,0.06277043867618
25fnasa,0.644324806001451,0.695575803518295,0.72440310886928,0.051250997516844,0.000183606791684,,0.080078302867829,3.25514900012632E-06
25madsa,0.696796655654907,0.743268966674805,0.641776740550995,0.046472311019898,0.000335946553929,,-0.055019915103912,0.018742272908513
25maksh,0.691549628973007,0.780527383089066,0.799093157052994,0.088977754116059,0.000584507902237,,0.107543528079987,0.000658488053365
25mminn,1.18981271319919,1.3217017352581,1.24764067786081,0.13188902205891,0.004500781788353,,0.05782796466162,0.000578620959773
25mrrais,0.833065748214722,0.920337438583374,0.83876359462738,0.087271690368652,0.000504924920177,,0.005697846412658,0.005804102358888
26fchsa,0.81779932975769,0.63840863108635,0.767439216375351,-0.17939069867134,0.059629661829538,,-0.050360113382339,0.017488110385353
26fkagu,1.11163404252794,0.98133111000061,1.27623748779297,-0.13030293252733,0.038065605313507,,0.16460344526503,0.00684275379023
26mpnko,1.40243053436279,1.40749621391296,1.55807241797447,0.00506567955017,0.003568327132429,,0.15564188361168,0.005440445783292
27fclis,1.30571934580803,1.26104754871792,0.951091527938843,-0.04467179709011,0.011984327432137,,-0.354627817869187,0.190541262858413
27fumra,0.928006308419364,1.06406852602959,1.20176169607374,0.136062217610226,0.005078138918827,,0.273755387654376,0.036815202708187
27madgo,1.32911940983364,1.29197615385056,1.67446941799588,-0.03714325598308,0.010392663110241,,0.34535000816224,0.069415124687142
28fhefa,1.05376476711697,1.15612718037197,1.12266480922699,0.102362413255,0.001410848055543,,0.06890004211002,0.000168544369072
28mobal,1.28215364047459,1.35566132068634,1.6049884046827,0.07350768021175,7.58035659281212E-05,,0.32283476420811,0.058057990727843
29mstba,0.986896485090256,1.10327333874173,1.1712567125048,0.116376853651474,0.002660052600548,,0.184360227414544,0.010501683383023
,,,,,0.021565871359707,,,0.029178663298814
,,,,,,,,
,,,,,Hypothesis - 1,,,Hypothesis – 2
,,,,Xd-bar,0.064801155880645,,Xd-bar,0.081882506016071
,,,,Sd,0.146853230675075,,Sd,0.170817631697709
,,,,Sd/sqrt(n),0.02681160902775,,Sd/sqrt(n),0.031186890033482
,,,,T-value,2.4169066397163,,T-value,2.62554252534202
